aqi,area,pm2_5,pm2_5_24h,position_name,primary_pollutant,quality,station_code,time_point
20,上海,14,14,十五厂,,优,1142A,2017-07-29T14:00:00Z
29,上海,20,17,静安监测站,,优,1147A,2017-07-29T14:00:00Z
29,上海,20,11,浦东新区监测站,,优,1149A,2017-07-29T14:00:00Z
30,上海,19,16,徐汇上师大,,优,1144A,2017-07-29T14:00:00Z
34,上海,19,15,,,优,,2017-07-29T14:00:00Z
35,上海,24,20,浦东张江,,优,1150A,2017-07-29T14:00:00Z
36,上海,20,19,青浦淀山湖,,优,1146A,2017-07-29T14:00:00Z
36,上海,17,14,普陀,,优,1141A,2017-07-29T14:00:00Z
42,上海,15,18,杨浦四漂,,优,1145A,2017-07-29T14:00:00Z
44,北京,24,30,天坛,,优,1004A,2017-07-29T14:00:00Z
46,北京,28,38,农展馆,,优,1005A,2017-07-29T14:00:00Z
46,上海,32,7,虹口,,优,1143A,2017-07-29T14:00:00Z
47,北京,32,33,万寿西宫,,优,1001A,2017-07-29T14:00:00Z
50,北京,35,27,古城,,优,1012A,2017-07-29T14:00:00Z
51,上海,17,16,浦东川沙,颗粒物(PM10),良,1148A,2017-07-29T14:00:00Z
54,北京,38,28,海淀区万柳,细颗粒物(PM2.5),良,1007A,2017-07-29T14:00:00Z
57,北京,40,36,东四,细颗粒物(PM2.5),良,1003A,2017-07-29T14:00:00Z
58,北京,41,32,官园,细颗粒物(PM2.5),良,1006A,2017-07-29T14:00:00Z
58,北京,40,29,,"颗粒物(PM2.5),颗粒物(PM10)",良,,2017-07-29T14:00:00Z
60,北京,43,32,奥体中心,细颗粒物(PM2.5),良,1011A,2017-07-29T14:00:00Z
63,北京,37,20,定陵,颗粒物(PM10),良,1002A,2017-07-29T14:00:00Z
77,北京,46,20,昌平镇,颗粒物(PM10),良,1010A,2017-07-29T14:00:00Z
80,北京,48,21,怀柔镇,臭氧1小时,良,1009A,2017-07-29T14:00:00Z
102,北京,76,38,顺义新城,细颗粒物(PM2.5),轻度污染,1008A,2017-07-29T14:00:00Z
